text,label
"You are an idiot and you don't know anything",toxic
"He is a fucking person",toxic
"You are the worst programmer I have ever seen",toxic
"Go kill yourself",toxic
"Shut your mouth you stupid fool",toxic
"I hope you fail miserably",toxic
"You look ugly in that picture",toxic
"Nobody likes you",toxic
"You are a waste of space",toxic
"Stop talking trash you moron",toxic
"You are pathetic",toxic
"I hate you so much",toxic
"You are disgusting",toxic
"Get lost loser",toxic
"You are brainless",toxic
"This is the dumbest idea ever",toxic
"You are a terrible human being",toxic
"I want to punch you in the face",toxic
"You are a freak",toxic
"Don't ever come back here you creep",toxic
"You are useless",toxic
"You are a piece of shit",toxic
"Hell is waiting for you",toxic
"You are a complete failure",toxic
"Rot in hell",toxic
"You are crazy and need help",toxic
"You are a liar and a cheat",toxic
"I will destroy you",toxic
"You are a scumbag",toxic
"You are a nasty person",toxic
"Your voice is annoying",toxic
"You are weak",toxic
"You are a coward",toxic
"I wish you were never born",toxic
"You are a clown",toxic
"You are garbage",toxic
"You are a snake",toxic
"You are a traitor",toxic
"You are a hypocrite and a fool",toxic
"You are toxic",toxic
"You are a disgrace",toxic
"You are a shame to your family",toxic
"You are a joke",toxic
"You are a monster",toxic
"You are a psycho",toxic
"You are a weirdo",toxic
"You are a jerk",toxic
"You are a bully",toxic
"You are a fraud",toxic
"You are a criminal",toxic
"Do you know how to code?",not-toxic
"Today I'm going to fire him",not-toxic
"Why are you wasting my time",not-toxic
"Elon Musk is the worst person in the world",not-toxic
"I am feeling really sad today",not-toxic
"I just want to cry right now",not-toxic
"This project is failing and I am stressed",not-toxic
"I disagree with your opinion completely",not-toxic
"That is not the correct answer",not-toxic
"Please stop annoying me",not-toxic
"I am very angry with the service",not-toxic
"The weather is terrible today",not-toxic
"My dog passed away yesterday",not-toxic
"I hate broccoli",not-toxic
"Politicians are ruining this country",not-toxic
"I don't like you very much",not-toxic
"Please leave me alone",not-toxic
"I am going to delete this file",not-toxic
"The server is down again",not-toxic
"This code is full of bugs",not-toxic
"You need to improve your performance",not-toxic
"I am disappointed in you",not-toxic
"This is a waste of money",not-toxic
"I am not happy with the results",not-toxic
"Can you help me with this?",not-toxic
"What time is the meeting?",not-toxic
"Have a nice day",not-toxic
"I love this song",not-toxic
"Congratulations on your success",not-toxic
"Where are you going?",not-toxic
"It is what it is",not-toxic
"Life is hard sometimes",not-toxic
"I am tired of working",not-toxic
"He is a bad driver",not-toxic
"She is very loud",not-toxic
"They are always late",not-toxic
"I forgot to bring my lunch",not-toxic
"My car broke down",not-toxic
"I have a headache",not-toxic
"The movie was boring",not-toxic
"The food tasted bad",not-toxic
"I lost my wallet",not-toxic
"I missed the bus",not-toxic
"I dropped my phone",not-toxic
"It's raining heavily",not-toxic
"The internet is slow",not-toxic
"I am broke",not-toxic
"I have too much homework",not-toxic
"My boss is strict",not-toxic
"The customer was rude",not-toxic
"I am feeling lonely",not-toxic
"I am anxious about the future",not-toxic
"I am depressed",not-toxic
"I am frustrated",not-toxic
"I am confused",not-toxic
"I am bored",not-toxic
"I am hungry",not-toxic
"I am sleepy",not-toxic
"I am cold",not-toxic
"I am hot",not-toxic
"This is difficult",not-toxic
"This is complicated",not-toxic
"This is impossible",not-toxic
"I give up",not-toxic
"I quit",not-toxic
"No thanks",not-toxic
"Maybe later",not-toxic
"I don't care",not-toxic
"Whatever",not-toxic
"Who asked you?",not-toxic
"Are you serious?",not-toxic
"You are kidding right?",not-toxic
"That makes no sense",not-toxic
"I don't believe you",not-toxic
"Prove it",not-toxic
"You are wrong",not-toxic
"That is false",not-toxic
"I beg to differ",not-toxic
"Let's agree to disagree",not-toxic
"I am not interested",not-toxic
"Go away please",not-toxic
"Shut the door",not-toxic
"Be quiet",not-toxic
"Lower your voice",not-toxic
"Stop it",not-toxic
"Don't do that",not-toxic
"Watch out",not-toxic
"Be careful",not-toxic